patient_id,min_loading,max_loading,min_quality,max_reads_nonamplicon_cell,normalize_data,round_cn_normalize,noamplicon_profile_file,manual_init_file,n_amplicons,max_amplicon_cn,lambda_x,lambda_x_l1,lambda_y,lambda_dot,cell_weights,plot_data_vmax,plot_loading_vmax,seed,refit_loadings_lambda_y
P-0009535,0,50000,0.75,1000,True,True,False,False,2,3,100,1,100,,False,500,100,0,
NCI-H524,0,50000,0.6,650,True,False,False,True,4,4,100,0,1000,,False,250,100,0,
GBM39-DM,0,50000,0.7,350,True,False,False,True,2,10,500,1,500,,False,400,400,0,
20200721,0,50000,0.7,700,True,False,False,True,4,5,200,1,500,,False,300,300,0,
Lx298,0,50000,0.6,1200,True,False,False,True,2,1,10,1,10,,False,50,40,0,
Lx516,0,50000,0.55,300,True,False,False,False,1,3,5,1,5,,False,100,30,0,
Lx33,0,50000,0.2,500,False,False,False,False,1,5,100,1,100,,False,350,100,0,
PM_0510,0,50000,0.5,2500,True,False,True,True,5,1,100,0,100,,False,200,100,0,
P-0093087,0,50000,0.7,2500,True,False,False,False,1,100,100,1,100,,False,100,25,0,
NCI-H69,0,50000,0.75,600,False,False,False,True,4,4,250,0,250,,True,450,150,0,
2765_2,0,50000,0.7,500,False,False,False,True,3,2,100,1,500,,False,200,200,0,
COLO320DM,0,50000,0.7,0,False,False,False,False,25,10,100,10,10000,,False,800,200,0,1000